cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
0001108248,KRONOS ADVANCED TECHNOLOGIES INC,74811,OTC Markets,OTC Pink No Information,OTC,KNOS,3564,Industrial and Commercial Fans and Blowers and Air Purification 
0001108271,CONOR MEDSYSTEMS INC,203222,,,,,3841,Surgical and Medical Instruments and Apparatus
0001108320,SMTC CORP,74569,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,SMTX,3672,Printed Circuit Boards
0001108329,PETROCHINA CO LTD,83456,NYSE,NYSE,NYSE,PTR,1311,Crude Petroleum and Natural Gas
0001108332,ALVARION LTD,97053,OTC Markets,OTC Pink No Information,OTC,ALVRQ,3661,Telephone and Telegraph Apparatus
0001108341,EXULT INC,73823,,,,,8742,Services-Management Consulting Services
0001108345,IMPRESO INC,73972,OTC Markets,OTC Pink No Information,OTC,ZCOM,2761,Manifold Business Forms
0001108426,PNM RESOURCES INC,74087,NYSE,NYSE,NYSE,PNM,4911,Electric Services
0001108467,"AMERICAN HOLDING INVESTMENTS, INC.",74133,,,,,7011,Hotels and Motels
0001108482,SHOPPING COM LTD,74516,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001108487,UBIQUITEL INC,74128,,,,,4812,Radiotelephone Communications
0001108515,"MORGAN EQUITIES GROUP, INC.",74206,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001108520,WHITTIER ENERGY CORP,99829,,,,,1382,Oil and Gas Field Exploration Services
0001108524,SALESFORCE COM INC,159140,NYSE,NYSE,NYSE,CRM,7372,Services-Prepackaged Software
0001108630,LIVE CURRENT MEDIA INC.,74105,OTC Markets,OTC Pink No Information,OTC,LIVC,7389,"Services-Business Services, Not Elsewhere Classified"
0001108645,FRONTIER OILFIELD SERVICES INC,74113,OTC Markets,OTCQX U.S.,OTC,FOSI,1382,Oil and Gas Field Exploration Services
0001108674,STRATAGENE  CORP,74120,,,,,2836,"Biological Products, (No Diagnostic Substances)"
0001108699,"UWINK, INC.",73949,OTC Markets,Caveat Emptor,OTC,UWKI,5812,Retail-Eating Places
0001108727,"IPCS, INC",74016,,,,,4812,Radiotelephone Communications
0001108730,PUBLIC MEDIA WORKS INC,73993,,,,,7812,Services-Motion Picture and Video Tape Production
0001108827,"QEP RESOURCES, INC.",75227,NYSE,NYSE,NYSE,QEP,1311,Crude Petroleum and Natural Gas
0001108891,LIGHTSCAPE TECHNOLOGIES INC.,75197,OTC Markets,OTC Pink No Information,OTC,LTSC,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0001108906,GREENFIELD ONLINE INC,74297,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001108924,OPNET TECHNOLOGIES INC,74271,,,,,7372,Services-Prepackaged Software
0001108943,GULF COAST OIL & GAS INC.,76140,,,,,1000,Metal Mining
0001108951,LARGE SCALE BIOLOGY CORP,74986,,,,,2834,Pharmaceutical Preparations
0001108955,SOYO GROUP INC,77746,OTC Markets,Caveat Emptor,OTC,SOYO,5064,"Wholesale-Electrical Appliances, Television and Radio Sets"
0001108967,"CUI GLOBAL, INC.",74063,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,CUI,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
0001109067,"MOVIE STUDIO, INC.",74060,OTC Markets,OTC Pink Current,OTC,MVES,7812,Services-Motion Picture and Video Tape Production
0001109116,ENTRAVISION COMMUNICATIONS CORP,75466,NYSE,NYSE,NYSE,EVC,4833,Television Broadcasting Stations
0001109138,CAMTEK LTD,77741,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,CAMT,3827,Optical Instruments and Lenses
0001109141,OROMIN EXPLORATIONS LTD,97430,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
0001109153,"TRISTAR WELLNESS SOLUTIONS, INC.",74328,OTC Markets,OTC Pink Limited,OTC,TWSI,9995,Non-Operating Establishments
0001109189,BASIC ENERGY SERVICES INC,74487,NYSE,NYSE,NYSE,BAS,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
0001109190,EFUNDS CORP,74889,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001109196,"MABVAX THERAPEUTICS HOLDINGS, INC.",74836,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,MBVX,2834,Pharmaceutical Preparations
0001109219,"DEFI GLOBAL, INC",109649,,,,,4813,Telephone Communications (No Radiotelephone)
0001109242,HANMI FINANCIAL CORP,74354,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,HAFC,6021,National Commercial Banks
0001109262,ALLIED ENERGY INC.,74448,OTC Markets,OTC Pink No Information,OTC,AGGI,2990,Miscellaneous Products Of Petroleum And Coal
0001109279,TVIA INC,74915,,,,,3674,Semiconductors and Related Devices
0001109304,ARMSTRONG HOLDINGS INC /PA/,74261,,,,,3089,"Plastics Products, Not Elsewhere Classified"
0001109313,TERYL RESOURCES CORP,76259,,,,,1382,Oil and Gas Field Exploration Services
0001109324,INTERBANK CAPITAL CORP,74477,,,,,6770,Blank Checks
0001109329,ALTAVOZ ENTERTAINMENT INC,74523,,,,,2430,"Millwood, Veneer, Plywood, and Structural Wood Members"
0001109337,TELL A TALE INC,74651,,,,,6770,Blank Checks
0001109341,TAKE A RIDE INC,74613,,,,,6770,Blank Checks
0001109343,YFC 355 CORP,74843,,,,,6770,Blank Checks
0001109344,VANITY ENTERPRISES INC,74764,,,,,6770,Blank Checks
0001109345,NOVA MEASURING INSTRUMENTS LTD,83253,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,NVMI,3827,Optical Instruments and Lenses
0001109346,TOO LATE FINANCIAL CORP,74695,,,,,6770,Blank Checks
0001109348,PETROL OIL & GAS INC,74387,,,,,1311,Crude Petroleum and Natural Gas
0001109354,BRUKER CORP,75311,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BRKR,3826,Laboratory Analytical Instruments
0001109357,EXELON CORP,74281,NYSE,NYSE,NYSE,EXC,4931,Electric and Other Services Combined
0001109448,ALLIANCEBERNSTEIN L.P.,74662,,,,,6282,Investment Advice
0001109486,PANAMED CORP,74975,OTC Markets,OTC Pink Current,OTC,EDXC,7389,"Services-Business Services, Not Elsewhere Classified"
0001109504,ADIRA ENERGY LTD.,74524,OTC,Grey Market,OTC,ADENF,1382,Oil and Gas Field Exploration Services
0001109525,BANCORP RHODE ISLAND INC,74517,,,,,6021,National Commercial Banks
0001109537,"ROAD, INC",74593,,,,,7373,Services-Computer Integrated Systems Design
0001109546,PACIFIC MERCANTILE BANCORP,74683,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PMBC,6021,National Commercial Banks
0001109553,"KODIAK ENERGY, INC.",76643,OTC Markets,OTC Pink No Information,OTC,KDKN,1311,Crude Petroleum and Natural Gas
0001109610,FIRST SECURITY BANCORP INC /KY/,74638,,,,,6022,State Commercial Banks
0001109662,KIK TECHNOLOGY INTERNATIONAL INC,74841,,,,,5190,Wholesale-Miscellaneous Nondurable Goods
0001109697,NATIONAL PROPERTIES TRUST,74417,OTC Markets,OTC Pink No Information,OTC,ENTI,7389,"Services-Business Services, Not Elsewhere Classified"
0001109740,CATUITY INC,74435,,,,,7371,Services-Computer Programming Services
0001109744,ANDRESMIN GOLD CORP,89176,,,,,1040,Gold And Silver Ores
0001109808,AVOCENT CORP,74800,,,,,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
0001109848,BOE FINANCIAL SERVICES OF VIRGINIA INC,74589,,,,,6021,National Commercial Banks
0001109879,"COMPUTER SOFTWARE INNOVATIONS, INC.",74963,,,,,7373,Services-Computer Integrated Systems Design
0001109898,EASIC CORP,176585,,,,,3674,Semiconductors and Related Devices
0001109925,WINTEGRA INC,201388,,,,,3674,Semiconductors and Related Devices
0001109935,WEBEX COMMUNICATIONS INC,74791,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001110009,GENAISSANCE PHARMACEUTICALS INC,75454,,,,,8731,Services-Commercial Physical and Biological Research
0001110072,"SEARCHPATH HSC, INC.",76720,OTC Markets,OTC Pink No Information,OTC,SRCP,4213,Trucking (No Local)
0001110189,I TRAX INC,75145,,,,,8000,Services-Health Services
0001110206,KOSAN BIOSCIENCES INC,74795,,,,,8731,Services-Commercial Physical and Biological Research
0001110283,TPT GLOBAL TECH INC,74691,OTC Markets,OTC Pink Limited,OTC,TPTW,9995,Non-Operating Establishments
0001110304,STRATEGIC MINING CORP.,78051,,,,,2860,Industrial Organic Chemicals
0001110361,EROOMSYSTEM TECHNOLOGIES INC,75322,OTC Markets,OTC Pink Current,OTC,ERMS,3570,Computer And Office Equipment
0001110396,CH LIGHTING INTERNATIONAL CORP,81789,,,,,3640,Electric Lighting And Wiring Equipment
0001110418,IDI GLOBAL INC,74994,,,,,7372,Services-Prepackaged Software
0001110452,AIR FRANCE-KLM /FI,97943,OTC Markets,OTC Pink Current,OTC,AFLYY,4512,"Air Transportation, Scheduled"
0001110456,INSIGHT CAPITAL INC,74716,,,,,4841,Cable and Other Pay Television Services
0001110458,INSIGHT MIDWEST LP,74715,,,,,4841,Cable and Other Pay Television Services
0001110480,"BANX & GREEN GROUP, INC.",74847,,,,,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a
0001110482,WINGS & THINGS INC,75722,OTC Markets,OTC Pink Current,OTC,WGTG,2200,Textile mill products
0001110507,ESCHELON TELECOM INC,75321,,,,,4813,Telephone Communications (No Radiotelephone)
0001110569,"CHINA ENERGY & CARBON BLACK HOLDINGS, INC.",74762,,,,,1382,Oil and Gas Field Exploration Services
0001110607,"DEEP DOWN, INC.",75280,OTC Markets,OTCQX U.S.,OTC,DPDW,3533,Oil and Gas Field Machinery and Equipment
0001110646,"NETEASE, INC.",109040,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,NTES,7389,"Services-Business Services, Not Elsewhere Classified"
0001110647,"OCLARO, INC.",95397,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,OCLR,3674,Semiconductors and Related Devices
0001110648,"IMAGE PROTECT, INC.",74771,OTC Markets,OTC Pink Current,OTC,IMTL,7372,Services-Prepackaged Software
0001110649,FIBRIA CELULOSE S.A.,97492,NYSE,NYSE,NYSE,FBR,2621,Paper Mills
0001110650,GLOBAL SOURCES LTD /BERMUDA,76600,,,,,7310,Services-Advertising
0001110737,UNICO INC /AZ/,74990,,,,,1000,Metal Mining
0001110781,FUSION INTERACTIVE CORP,74823,OTC Markets,OTC Pink No Information,OTC,FUIG,3580,Refrigeration And Service Industry Machinery
0001110783,MONSANTO CO /NEW/,76144,NYSE,NYSE,NYSE,MON,2870,Agricultural Chemicals
0001110803,ILLUMINA INC,74858,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ILMN,3826,Laboratory Analytical Instruments
0001110805,NUSTAR ENERGY L.P.,78407,NYSE,NYSE,NYSE,NS,4610,Pipe Lines (No Natural Gas)
0001110903,NETWORK ENGINES INC,75035,,,,,7372,Services-Prepackaged Software
0001111118,MOTOR SPORT COUNTRY CLUB HOLDINGS INC,79901,OTC Markets,OTC Pink No Information,OTC,VIIN,0800,Forestry
0001111196,"CHESTATEE BANCSHARES, INC.",75144,,,,,6022,State Commercial Banks
0001111247,RIGHTNOW TECHNOLOGIES INC,75450,,,,,7372,Services-Prepackaged Software
0001111284,"GOLD HORSE INTERNATIONAL, INC.",75209,,,,,1531,Operative Builders
0001111285,SEGWAY IV CORP,75241,,,,,9995,Non-Operating Establishments
0001111286,PACIFIC LEASE GROUP INC,75242,,,,,7350,Services-Miscellaneous Equipment Rental and Leasing
0001111335,VISTEON CORP,75297,NYSE,NYSE,NYSE,VC,3714,Motor Vehicle Parts and Accessories
0001111391,AMERICAN ENERGY PRODUCTION INC,81888,,,,,1311,Crude Petroleum and Natural Gas
0001111406,INFRAREDX INC,377391,,,,,3845,Electromedical and Electrotherapeutic Apparatus
0001111473,"MED ONE OAK, INC.",379462,,,,,5960,Retail-Nonstore Retailers
0001111559,TRADESTATION GROUP INC,75338,,,,,6211,"Security Brokers, Dealers and Flotation Companies"
0001111590,MADISON RIVER CAPITAL LLC,76053,,,,,4813,Telephone Communications (No Radiotelephone)
0001111632,AVISTAR COMMUNICATIONS CORP,76794,OTC Markets,OTC Pink No Information,OTC,AVSR,3576,Computer Communications Equipment
0001111634,XO HOLDINGS INC,75356,,,,,4813,Telephone Communications (No Radiotelephone)
0001111665,TELECOMMUNICATION SYSTEMS INC /FA/,75532,,,,,7372,Services-Prepackaged Software
0001111695,UNITED CONSORTIUM LTD,75638,OTC Markets,OTC Pink No Information,OTC,UCSO,7374,Services-Computer Processing and Data Preparation
0001111696,"ID-CONFIRM, INC.",75652,,,,,7373,Services-Computer Integrated Systems Design
0001111697,DOBI MEDICAL INTERNATIONAL INC,75641,,,,,3845,Electromedical and Electrotherapeutic Apparatus
0001111698,CYOP SYSTEMS INTERNATIONAL INC,75642,,,,,7373,Services-Computer Integrated Systems Design
0001111711,NISOURCE INC/DE,75509,NYSE,NYSE,NYSE,NI,4931,Electric and Other Services Combined
0001111721,STRATOS INTERNATIONAL INC,75315,,,,,3674,Semiconductors and Related Devices
0001111741,DYNARESOURCE INC,75326,OTC Markets,OTCQB,OTC,DYNR,1000,Metal Mining
0001111759,SILICONWARE PRECISION INDUSTRIES CO LTD,97686,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SPIL,3674,Semiconductors and Related Devices
0001111814,"TABATHA V, INC.",80142,,,,,3620,Electrical Industrial Apparatus
0001111815,HUMANITY CAPITAL HOLDING CORP,80136,,,,,3620,Electrical Industrial Apparatus
0001111816,WORLDWIDE ENERGY & MANUFACTURING USA INC,80132,,,,,3990,Miscellaneous Manufacturing Industries
0001111817,LONGWEI PETROLEUM INVESTMENT HOLDING LTD,80123,OTC,Grey Market,OTC,LPIH,5171,Wholesale-Petroleum Bulk Stations and Terminals
0001111818,"INTERACTIVE THERAPEUTICS, INC.",80111,,,,,6770,Blank Checks
0001111853,ARDEN REALTY LIMITED PARTNERSHIP,75495,,,,,6512,Operators of Nonresidential Buildings
0001111863,SIERRA WIRELESS INC,97191,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SWIR,3663,Radio and Television Broadcasting and Communications Equipment
0001111872,VICTOR MINING INDUSTRY GROUP INC,75913,OTC Markets,OTC Pink No Information,OTC,VMTG,7389,"Services-Business Services, Not Elsewhere Classified"
0001111882,PRIME HOLDINGS & INVESTMENTS INC,75621,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001111928,IPG PHOTONICS CORP,81515,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,IPGP,3674,Semiconductors and Related Devices
0001112064,PROVIDENCE RESOURCES INC,75352,OTC Markets,OTC Pink No Information,OTC,PVRS,1311,Crude Petroleum and Natural Gas
0001112261,EVOLUTION TECHNOLOGY RESOURCES INC,80201,OTC Markets,OTC Pink Current,OTC,ETKR,2670,Converted Paper and Paperboard Products (No Contaners/Boxes)
0001112263,PROXIM CORP,75431,OTC Markets,Caveat Emptor,OTC,PROXQ,3669,"Communications Equipment, Not Elsewhere Classified"
0001112279,R-TEC HOLDING INC,75573,OTC Markets,Caveat Emptor,OTC,RTHG,3570,Computer And Office Equipment
0001112372,MEDICAL INTERNATIONAL TECHNOLOGY INC,79104,OTC Markets,OTC Pink No Information,OTC,MDLH,3841,Surgical and Medical Instruments and Apparatus
0001112412,ENDEAVOUR INTERNATIONAL CORP,76785,,,,,1311,Crude Petroleum and Natural Gas
0001112422,MOTIVE INC,77525,,,,,7372,Services-Prepackaged Software
0001112424,HIENERGY TECHNOLOGIES INC,76632,,,,,3826,Laboratory Analytical Instruments
0001112425,PURERAY CORP,76631,OTC Markets,OTC Pink No Information,OTC,PURY,7389,"Services-Business Services, Not Elsewhere Classified"
0001112477,PAVILION BANCORP INC,75712,,,,,6035,"Savings Institution, Federally Chartered"
0001112485,PRIMEHOLDINGS COM INC,75560,OTC Markets,OTC Pink No Information,OTC,MPIX,7389,"Services-Business Services, Not Elsewhere Classified"
0001112682,ETELCHARGE.COM,75622,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001112683,ANDA NETWORKS INC,78456,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
0001112706,CANYON COPPER CORP.,75569,OTC Markets,OTC Pink Current,OTC,CNYCF,1000,Metal Mining
0001112748,HAZ HOLDINGS INC,78615,OTC Markets,OTC Pink No Information,OTC,HAZH,1700,Construction-Special Trade Contractors
0001112819,GREYSON INTERNATONAL INC,108772,OTC Markets,OTC Pink Limited,OTC,GYSN,,
0001112880,ARGONAUT TECHNOLOGIES INC,75649,,,,,2835,In Vitro and In Vivo Diagnostic Substances
0001112902,VISIONGATEWAY INC,75666,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001112920,GLOBALSCAPE INC,76115,NYSE,NYSE MKT,NYSE MKT,GSB,7372,Services-Prepackaged Software
0001112985,DELTA INTERNATIONAL OIL & GAS INC.,75854,OTC Markets,OTCQB,OTC,DLTZ,1311,Crude Petroleum and Natural Gas
0001112999,E-SMART TECHNOLOGIES INC,76520,,,,,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
0001113006,METALINE CONTACT MINES,77587,OTC Markets,OTC Pink No Information,OTC,MTLI,1000,Metal Mining
0001113026,PIONEER BANKSHARES INC/VA,75739,OTC Markets,OTC Pink Current,OTC,PNBI,6021,National Commercial Banks
0001113107,FIRST FEDERAL BANCSHARES INC /DE,75869,,,,,6035,"Savings Institution, Federally Chartered"
0001113148,"INFINITY PHARMACEUTICALS, INC.",75958,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,INFI,2834,Pharmaceutical Preparations
0001113169,PRICE T ROWE GROUP INC,76009,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,TROW,6200,"Security and Commodity Brokers, Dealers, Exchanges and Services"
0001113172,AMERICAN BEVERAGE CO AMBEV,88243,,,,,2080,Beverages
0001113190,SAVOY RESOURCES CORP,81500,,,,,6200,"Security and Commodity Brokers, Dealers, Exchanges and Services"
0001113226,WINTECH DIGITAL SYSTEM TECHNOLOGY CORP,75808,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
0001113232,AXCELIS TECHNOLOGIES INC,75852,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ACLS,3559,"Special Industry Machinery, Not Elsewhere Classified"
0001113247,BEARINGPOINT INC,75853,,,,,8742,Services-Management Consulting Services
0001113256,MERITOR INC,75881,NYSE,NYSE,NYSE,MTOR,3714,Motor Vehicle Parts and Accessories
0001113260,RADIUS GOLD INC.,106589,OTC,Grey Market,OTC,RDUFF,1000,Metal Mining
0001113306,MAXCOM TELECOMMUNICATIONS INC,78655,,,,,4813,Telephone Communications (No Radiotelephone)
0001113313,ARVANA INC,76421,OTC Markets,OTC Pink Current,OTC,AVNI,9995,Non-Operating Establishments
0001113336,CNB FINANCIAL SERVICES INC,75795,OTC,Grey Market,OTC,CBFC,6022,State Commercial Banks
0001113423,AETERNA ZENTARIS INC.,80399,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AEZS,2834,Pharmaceutical Preparations
0001113445,WARNER CHILCOTT PLC,82554,,,,,2834,Pharmaceutical Preparations
0001113450,WHY USA FINANCIAL GROUP INC,76032,,,,,6532,Real Estate Dealers (For Their Own Account)
0001113481,MEDICINES CO /DE,76330,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MDCO,2834,Pharmaceutical Preparations
0001113501,"TATYANA DESIGNS, INC.",145411,OTC Markets,OTC Pink No Information,OTC,TATD,,
0001113513,"MOBILESMITH, INC.",197591,OTC Markets,OTCQB,OTC,MOST,7372,Services-Prepackaged Software
0001113524,CREATIVE VISTAS INC,75963,OTC Markets,OTC Pink No Information,OTC,CVAS,3669,"Communications Equipment, Not Elsewhere Classified"
0001113546,"CHINA YINGXIA INTERNATIONAL, INC.",76278,,,,,2870,Agricultural Chemicals
0001113643,AXM PHARMA INC,75908,OTC Markets,OTC Pink No Information,OTC,AXMP,2834,Pharmaceutical Preparations
0001113668,"EDUCATION HOLDINGS 1, INC.",78503,,,,,8200,Services-Educational Services
0001113677,IBX GROUP INC,75980,OTC Markets,Caveat Emptor,OTC,IBXG,8741,Services-Management Services
0001113679,PRACTICEXPERT INC,75961,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001113784,"CARDIONET, INC.",123550,,,,,3841,Surgical and Medical Instruments and Apparatus
0001113809,BUILD A BEAR WORKSHOP INC,146361,NYSE,NYSE,NYSE,BBW,5945,"Retail-Hobby, Toy and Game Shops"
0001113866,CHINA UNICOM (HONG KONG) LTD,106215,NYSE,NYSE,NYSE,CHU,4812,Radiotelephone Communications
0001113947,EP GLOBAL COMMUNICATIONS INC,76863,OTC Markets,OTC Pink Current,OTC,EPGL,4512,"Air Transportation, Scheduled"
0001114084,INTERVIDEO INC,94853,,,,,7372,Services-Prepackaged Software
0001114098,AMERICAN CAPITAL PARTNERS LIMITED INC,79849,,,,,6199,Finance Services
0001114200,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,76349,,,,,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
0001114208,"NIGHTCULTURE, INC.",99687,OTC Markets,OTCQB,OTC,NGHT,7900,Services-Amusement and Recreation Services
0001114220,KERYX BIOPHARMACEUTICALS INC,76329,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,KERX,2834,Pharmaceutical Preparations
0001114222,OCEAN RESOURCES INC,77467,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001114241,INYX INC,99019,OTC Markets,OTC Pink No Information,OTC,IYXI,2834,Pharmaceutical Preparations
0001114274,COL CHINA ONLINE INTERNATIONAL INC,76875,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0001114302,NAVITONE TECHNOLOGIES INC,92332,,,,,7372,Services-Prepackaged Software
0001114365,CURON MEDICAL INC,76476,,,,,3845,Electromedical and Electrotherapeutic Apparatus
0001114446,UBS AG,77486,NYSE,NYSE Arca,NYSE,AMU,6021,National Commercial Banks
0001114448,NOVARTIS AG,85434,NYSE,NYSE,NYSE,NVS,2834,Pharmaceutical Preparations
0001114483,INTEGER HOLDINGS CORP,76381,NYSE,NYSE,NYSE,ITGR,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0001114529,VIACELL INC,96019,,,,,8731,Services-Commercial Physical and Biological Research
0001114605,AMERICAN SCIENTIFIC RESOURCES INC,197794,OTC Markets,Caveat Emptor,OTC,ASFX,3841,Surgical and Medical Instruments and Apparatus
0001114644,COMERTON CORP,76209,OTC Markets,OTC Pink Current,OTC,HAGED,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
0001114652,BERRY PLASTICS ACQUISITION CORP III,76227,,,,,3089,"Plastics Products, Not Elsewhere Classified"
0001114655,GREENCORE TECHNOLOGY INC,77701,,,,,3590,Miscellaneous Industrial and Commercial Machinery and Equipment
0001114700,GRUPO FINANCIERO GALICIA SA,83132,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,GGAL,6029,"Commercial Banks, Not Elsewhere Classified"
0001114714,KENEXA CORP,77079,,,,,7372,Services-Prepackaged Software
0001114749,IPEC HOLDINGS INC,76525,,,,,3089,"Plastics Products, Not Elsewhere Classified"
0001114859,"GLOW HOLDINGS, INC.",76283,OTC Markets,OTC Pink No Information,OTC,GLOH,7372,Services-Prepackaged Software
0001114868,MONROE JAMES BANCORP INC,76546,,,,,6035,"Savings Institution, Federally Chartered"
0001114872,MILLENNIUM CELL INC,76479,OTC,Grey Market,OTC,MCELQ,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0001114898,WINNING BRANDS CORP,76607,OTC Markets,OTC Pink No Information,OTC,WNBD,7389,"Services-Business Services, Not Elsewhere Classified"
0001114908,"CHALLENGER POWERBOATS, INC.",76369,,,,,3730,Ship And Boat Building And Repairing
0001114925,LANTRONIX INC,76353,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,LTRX,3576,Computer Communications Equipment
0001114927,FIRST NORTHERN COMMUNITY BANCORP,76441,OTC Markets,OTCQB,OTC,FNRN,6035,"Savings Institution, Federally Chartered"
0001114936,UMEWORLD LTD,76924,OTC Markets,OTCQB,OTC,UMEWF,7372,Services-Prepackaged Software
0001114973,ADVANCED POWER TECHNOLOGY INC,76622,,,,,3674,Semiconductors and Related Devices
0001114995,IMPINJ INC,164589,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PI,3679,"Electronic Components, Not Elsewhere Classified"
0001114999,RADVIEW SOFTWARE LTD,77606,OTC Markets,OTC Pink No Information,OTC,RDVWF,7372,Services-Prepackaged Software
0001115054,ADVANCED INTEGRATED MANAGEMENT SERVICES INC,76402,,,,,3576,Computer Communications Equipment
0001115055,PINNACLE FINANCIAL PARTNERS INC,76521,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PNFP,6021,National Commercial Banks
0001115091,FUZEBOX SOFTWARE CORP,125772,OTC Markets,OTC Pink No Information,OTC,CLWA,4822,Telegraph and Other Message Communications
0001115128,QUOTIENT TECHNOLOGY INC.,118476,NYSE,NYSE,NYSE,QUOT,7310,Services-Advertising
0001115143,ACUSPHERE INC,90276,OTC Markets,OTC Pink No Information,OTC,ACUS,2834,Pharmaceutical Preparations
0001115222,DUN & BRADSTREET CORP/NW,77129,NYSE,NYSE,NYSE,DNB,7320,"Services-Consumer Credit Reporting, Collection Agencies"
0001115255,RUBICON MEDICAL CORP,81464,,,,,3841,Surgical and Medical Instruments and Apparatus
0001115285,EYETECH PHARMACEUTICALS INC,152867,,,,,2834,Pharmaceutical Preparations
0001115295,RXBAZAAR INC,76805,,,,,5122,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
0001115463,ALLIANCE MEDIA HOLDINGS INC,78597,OTC Markets,OTC Pink Limited,OTC,ADTR,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
0001115551,INTERACTIVE MOTORSPORTS & ENTERTAINMENT CORP,76756,OTC Markets,Caveat Emptor,OTC,IMTS,7389,"Services-Business Services, Not Elsewhere Classified"
0001115568,WGNB CORP,76900,OTC Markets,OTC Pink No Information,OTC,WGNAP,6021,National Commercial Banks
0001115818,"CAMELOT ENTERTAINMENT GROUP, INC.",76811,,,,,7812,Services-Motion Picture and Video Tape Production
0001115836,BELMOND LTD.,76982,NYSE,NYSE,NYSE,BEL,7011,Hotels and Motels
0001115837,MOBILE TELESYSTEMS PJSC,96465,NYSE,NYSE,NYSE,MBT,4812,Radiotelephone Communications
0001115911,"ICON MEDIA HOLDINGS, INC.",77016,OTC Markets,OTC Pink Current,OTC,ICNM,6770,Blank Checks
0001115954,TREND MINING CO,77805,,,,,1000,Metal Mining
0001115975,SILVERGRAPH INTERNATIONAL INC,77305,OTC Markets,OTC Pink Limited,OTC,SVGP,7330,"Services-Mailing, Reproduction, Commercial Art and Photography"
0001116030,HYDRIL CO,76775,,,,,3533,Oil and Gas Field Machinery and Equipment
0001116094,AXCAN PHARMA INC,76663,,,,,2834,Pharmaceutical Preparations
0001116112,US FUEL CORP,80971,,,,,2911,Petroleum Refining
0001116132,"TAPESTRY, INC.",76950,NYSE,NYSE,NYSE,TPR,3100,Leather and Leather Products
0001116134,TATA COMMUNICATIONS LTD,91192,,,,,4813,Telephone Communications (No Radiotelephone)
0001116137,BRAVO RESOURCE PARTNERS LTD,162268,,,,,7819,Services-Allied To Motion Picture Production
0001116139,TRIDENT SYSTEMS INTERNATIONAL/AAMPRO,76706,,,,,6199,Finance Services
0001116181,IWO HOLDINGS INC,77009,,,,,4812,Radiotelephone Communications
0001116196,SHIMODA RESOURCES HOLDINGS INC,76777,,,,,9995,Non-Operating Establishments
